character_id,source_line,character_name_jp,raw_name_jp,aliases_or_alt_names_jp,appearance_note_jp,character_name_en,universe_jp,universe_code,work_title_jp,medium_hint,canon_tier_hint,affiliation_context_jp,faction_family,is_military_or_combat_faction_proxy,is_zeon_related_proxy,is_federation_related_proxy,is_named_pilot_or_fighter_proxy,has_alias_or_alt_identity,row_order_in_source,death_in_war_target,death_status_label,death_label_confidence,death_label_note,death_label_source_url,voice_actor_jp,voice_actor_source_url,row_research_status,needs_manual_review
gundam_char_0001,9,アントニオ・カラス,アントニオ・カラス,Unknown,Unknown,Unknown,『機動戦士ガンダム』（宇宙世紀）シリーズ,UC / alternate UC,機動戦士ガンダム,TV anime + Movie + Novel,Primary animation / screen work,地球連邦軍,Earth Federation / Londo Bell / Titans,TRUE,FALSE,TRUE,FALSE,FALSE,1,Unknown,Unknown,Unknown,Unknown / not verified in this pass,Unknown,Unknown,Unknown,Not row-level verified,TRUE
gundam_char_0002,10,ウッディ・マルデン,ウッディ・マルデン,Unknown,Unknown,Unknown,『機動戦士ガンダム』（宇宙世紀）シリーズ,UC / alternate UC,機動戦士ガンダム,TV anime + Movie + Novel,Primary animation / screen work,地球連邦軍,Earth Federation / Londo Bell / Titans,TRUE,FALSE,TRUE,FALSE,FALSE,2,1,Killed in action / death during armed conflict,Medium,Matched to manual researched death seed list; row still needs individual verification before model publication,https://gundam.fandom.com/wiki/Category:Deceased,Unknown,Unknown,Seed death label matched,FALSE
gundam_char_0003,11,エルラン,エルラン,Unknown,Unknown,Unknown,『機動戦士ガンダム』（宇宙世紀）シリーズ,UC / alternate UC,機動戦士ガンダム,TV anime + Movie + Novel,Primary animation / screen work,地球連邦軍,Earth Federation / Londo Bell / Titans,TRUE,FALSE,TRUE,FALSE,FALSE,3,Unknown,Unknown,Unknown,Unknown / not verified in this pass,Unknown,Unknown,Unknown,Not row-level verified,TRUE
gundam_char_0004,12,カミラ,カミラ,Unknown,Unknown,Unknown,『機動戦士ガンダム』（宇宙世紀）シリーズ,UC / alternate UC,機動戦士ガンダム,TV anime + Movie + Novel,Primary animation / screen work,地球連邦軍,Earth Federation / Londo Bell / Titans,TRUE,FALSE,TRUE,FALSE,FALSE,4,Unknown,Unknown,Unknown,Unknown / not verified in this pass,Unknown,Unknown,Unknown,Not row-level verified,TRUE
gundam_char_0005,13,コーリン,コーリン,Unknown,Unknown,Unknown,『機動戦士ガンダム』（宇宙世紀）シリーズ,UC / alternate UC,機動戦士ガンダム,TV anime + Movie + Novel,Primary animation / screen work,地球連邦軍,Earth Federation / Londo Bell / Titans,TRUE,FALSE,TRUE,FALSE,FALSE,5,Unknown,Unknown,Unknown,Unknown / not verified in this pass,Unknown,Unknown,Unknown,Not row-level verified,TRUE
gundam_char_0006,14,ゴップ,ゴップ,Unknown,Unknown,Unknown,『機動戦士ガンダム』（宇宙世紀）シリーズ,UC / alternate UC,機動戦士ガンダム,TV anime + Movie + Novel,Primary animation / screen work,地球連邦軍,Earth Federation / Londo Bell / Titans,TRUE,FALSE,TRUE,FALSE,FALSE,6,Unknown,Unknown,Unknown,Unknown / not verified in this pass,Unknown,Unknown,Unknown,Not row-level verified,TRUE
gundam_char_0007,15,ジュダック,ジュダック,Unknown,Unknown,Unknown,『機動戦士ガンダム』（宇宙世紀）シリーズ,UC / alternate UC,機動戦士ガンダム,TV anime + Movie + Novel,Primary animation / screen work,地球連邦軍,Earth Federation / Londo Bell / Titans,TRUE,FALSE,TRUE,FALSE,FALSE,7,Unknown,Unknown,Unknown,Unknown / not verified in this pass,Unknown,Unknown,Unknown,Not row-level verified,TRUE
gundam_char_0008,16,シン,シン,Unknown,Unknown,Unknown,『機動戦士ガンダム』（宇宙世紀）シリーズ,UC / alternate UC,機動戦士ガンダム,TV anime + Movie + Novel,Primary animation / screen work,地球連邦軍,Earth Federation / Londo Bell / Titans,TRUE,FALSE,TRUE,FALSE,FALSE,8,Unknown,Unknown,Unknown,Unknown / not verified in this pass,Unknown,Unknown,Unknown,Not row-level verified,TRUE
gundam_char_0009,17,セキ,セキ,Unknown,Unknown,Unknown,『機動戦士ガンダム』（宇宙世紀）シリーズ,UC / alternate UC,機動戦士ガンダム,TV anime + Movie + Novel,Primary animation / screen work,地球連邦軍,Earth Federation / Londo Bell / Titans,TRUE,FALSE,TRUE,FALSE,FALSE,9,Unknown,Unknown,Unknown,Unknown / not verified in this pass,Unknown,Unknown,Unknown,Not row-level verified,TRUE
gundam_char_0010,18,ティアンム,ティアンム,Unknown,Unknown,Unknown,『機動戦士ガンダム』（宇宙世紀）シリーズ,UC / alternate UC,機動戦士ガンダム,TV anime + Movie + Novel,Primary animation / screen work,地球連邦軍,Earth Federation / Londo Bell / Titans,TRUE,FALSE,TRUE,FALSE,FALSE,10,Unknown,Unknown,Unknown,Unknown / not verified in this pass,Unknown,Unknown,Unknown,Not row-level verified,TRUE
gundam_char_0011,19,テム・レイ,テム・レイ,Unknown,Unknown,Unknown,『機動戦士ガンダム』（宇宙世紀）シリーズ,UC / alternate UC,機動戦士ガンダム,TV anime + Movie + Novel,Primary animation / screen work,地球連邦軍,Earth Federation / Londo Bell / Titans,TRUE,FALSE,TRUE,FALSE,FALSE,11,Unknown,Unknown,Unknown,Unknown / not verified in this pass,Unknown,Unknown,Unknown,Not row-level verified,TRUE
gundam_char_0012,20,マチルダ・アジャン,マチルダ・アジャン,Unknown,Unknown,Unknown,『機動戦士ガンダム』（宇宙世紀）シリーズ,UC / alternate UC,機動戦士ガンダム,TV anime + Movie + Novel,Primary animation / screen work,地球連邦軍,Earth Federation / Londo Bell / Titans,TRUE,FALSE,TRUE,FALSE,FALSE,12,1,Killed in action / death during armed conflict,Medium,Matched to manual researched death seed list; row still needs individual verification before model publication,https://gundam.fandom.com/wiki/Category:Deceased,Unknown,Unknown,Seed death label matched,FALSE
gundam_char_0013,21,モスク・ハン,モスク・ハン,Unknown,Unknown,Unknown,『機動戦士ガンダム』（宇宙世紀）シリーズ,UC / alternate UC,機動戦士ガンダム,TV anime + Movie + Novel,Primary animation / screen work,地球連邦軍,Earth Federation / Londo Bell / Titans,TRUE,FALSE,TRUE,FALSE,FALSE,13,Unknown,Unknown,Unknown,Unknown / not verified in this pass,Unknown,Unknown,Unknown,Not row-level verified,TRUE
gundam_char_0014,22,レビル,レビル,Unknown,Unknown,Unknown,『機動戦士ガンダム』（宇宙世紀）シリーズ,UC / alternate UC,機動戦士ガンダム,TV anime + Movie + Novel,Primary animation / screen work,地球連邦軍,Earth Federation / Londo Bell / Titans,TRUE,FALSE,TRUE,FALSE,FALSE,14,Unknown,Unknown,Unknown,Unknown / not verified in this pass,Unknown,Unknown,Unknown,Not row-level verified,TRUE
