feature,importance
numeric__raw_name_jp_char_len,0.11298425650446052
numeric__character_name_jp_char_len,0.1033863779809402
numeric__affiliation_context_jp_char_len,0.057736248945265606
categorical__canon_tier_hint_Primary animation / screen work,0.055406900990754175
numeric__is_military_or_combat_faction_proxy,0.04746222330140597
categorical__canon_tier_hint_Expanded universe / non-screen or game,0.04165091802581898
categorical__faction_family_Civilian / Other,0.02946692517051207
categorical__universe_code_UC / alternate UC,0.0254511805452071
categorical__work_title_jp_機動戦士ガンダム C.D.A. 若き彗星の肖像,0.01669436670870139
categorical__medium_hint_TV anime,0.015400479077870647
categorical__work_title_jp_機動戦士Ζガンダム,0.01483853560055472
categorical__medium_hint_Manga,0.013366975984334258
categorical__affiliation_context_jp_ティターンズ/地球連邦軍,0.013076846936171109
categorical__faction_family_Other / Unknown faction,0.012504714939895144
categorical__work_title_jp_機動戦士Vガンダム,0.01223609644118774
categorical__medium_hint_TV anime + Movie + Novel,0.011134132625538268
categorical__affiliation_context_jp_infrequent_sklearn,0.009915034988582613
categorical__faction_family_Zeon / Neo Zeon / Zeon remnants,0.009162781535141731
numeric__is_zeon_related_proxy,0.009161428507760496
numeric__aliases_or_alt_names_jp_char_len,0.008722195442166425
categorical__affiliation_context_jp_地球連邦軍（ティターンズ、エゥーゴ含む）,0.008579652914485328
categorical__work_title_jp_機動戦士ガンダム,0.00842240449046777
categorical__medium_hint_TV anime + Movie,0.008240747074586966
categorical__affiliation_context_jp_地球連邦軍,0.008130360666110224
categorical__universe_code_AW,0.00780239744152255
categorical__affiliation_context_jp_民間人・その他,0.007561001169399531
categorical__affiliation_context_jp_エゥーゴ,0.006835708804048117
categorical__medium_hint_Movie,0.006810579904457848
categorical__medium_hint_Game,0.006704172579995671
categorical__faction_family_Build / Gunpla team,0.006630176557245954
categorical__universe_code_Build,0.006453645455321774
categorical__faction_family_Earth Federation / Londo Bell / Titans,0.006412457466986568
categorical__affiliation_context_jp_Unknown,0.006411436709740424
categorical__medium_hint_Unknown,0.006204009027684126
categorical__faction_family_Unknown,0.006165204957086921
numeric__affiliation_context_jp_is_known,0.0058384868892981745
categorical__medium_hint_Novel,0.0057336731315347465
categorical__canon_tier_hint_Unknown,0.00569180508534311
numeric__is_federation_related_proxy,0.005499211371253272
categorical__faction_family_AEUG / Karaba,0.005220563001748675
categorical__work_title_jp_劇場版 機動戦士ガンダム00 -A wakening of the Trailblazer-,0.0049526590649644625
categorical__work_title_jp_機動戦士Gundam GQuuuuuuX,0.004791999623542562
categorical__affiliation_context_jp_ジオン公国軍,0.004781535899069587
categorical__affiliation_context_jp_ジオン公国軍（シャア・アズナブル少佐旗下）,0.004639148389759022
categorical__work_title_jp_機動戦士ガンダムUC 『袖付き』の機付長は詩詠う,0.004623685909582621
numeric__aliases_or_alt_names_jp_is_known,0.0044819796338615705
categorical__universe_code_CE,0.0041749985791888254
categorical__medium_hint_Model/variation project,0.004145357534995898
categorical__affiliation_context_jp_リガ・ミリティア（シュラク隊）,0.004127716920748676
categorical__work_title_jp_機動戦士ガンダム00,0.0040665797850232
categorical__medium_hint_OVA,0.004056561490081998
numeric__has_alias_or_alt_identity,0.0039205885303331255
categorical__universe_code_FC,0.003918419729298391
categorical__universe_code_AD,0.0038673387784750623
categorical__work_title_jp_機動戦士ガンダムSEED,0.0035789363200697927
categorical__universe_code_AG,0.0035239471143990414
categorical__affiliation_context_jp_ソレスタルビーイング,0.0034844169707262873
categorical__work_title_jp_機動武闘伝Gガンダム,0.0034463570394984416
categorical__affiliation_context_jp_ジオン残党兵,0.003303048637692928
categorical__faction_family_Celestial Being,0.0032694856970866327
categorical__work_title_jp_機動戦士ガンダムAGE,0.00325130130848902
categorical__work_title_jp_機動戦士ガンダム 鉄血のオルフェンズ,0.003241741551310104
categorical__universe_code_AS,0.0031457393474158533
categorical__work_title_jp_機動戦士ガンダムUC,0.0031208598743407093
categorical__work_title_jp_機動戦士ガンダム MS IGLOO,0.0031198488469308776
